"page_url","page_name","event_category","event_action","event_content","page_type","site_section","page_language"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","","","","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","checkbox","international service: Yes","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","dropdown","oversea destination: HK","application","wechat","zh_cn"
"/dual-account-opening/lead-in","wechat:dual account opening:overview","content","radio","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","","","apply cn account and oversea account","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree authorize third party: Yes","application","wechat","zh_cn"
"/dual-account-opening/step-overview","wechat:dual account opening:step overview","content","checkbox","agree personal data collection: Yes","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","","","agree personal data collection: Yes","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","content","button","send","application","wechat","zh_cn"
"/dual-account-opening/otp-registration","wechat:dual account opening:otp registration","","","send","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","","","send","application","wechat","zh_cn"
"/dual-account-opening/scan-id","wechat:dual account opening:scan id","content","popup","instructions","application","wechat","zh_cn"
"/dual-account-opening/personal-details","wechat:dual account opening:personal details","","","instructions","application","wechat","zh_cn"
"/dual-account-opening/contact-details","wechat:dual account opening:contact details","","","instructions","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","","","instructions","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","ocupation: student","application","wechat","zh_cn"
"/dual-account-opening/employment-details","wechat:dual account opening:employment details","content","dropdown","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","","","country of tax residency: cn","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","checkbox","remuneration purpose","application","wechat","zh_cn"
"/dual-account-opening/cn-account-usage","wechat:dual account opening:cn account usage","content","radio","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","","","deposit contributers: no","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: undefined","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","dropdown","branch: GUH","application","wechat","zh_cn"
"/dual-account-opening/terms-and-conditions","wechat:dual account opening:terms and conditions","content","radio","mailing address: home","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","","","mailing address: home","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid entry-exit permit more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","radio","valid visa label more than 3 months: no","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","Leads-only: Yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","Leads-only: No","application","wechat","zh_cn"
"/dual-account-opening/hk-account-eligibility","wechat:dual account opening:hk account eligibility","content","checkbox","Leads-only: Yes","application","wechat","zh_cn"
"/dual-account-opening/hk-account-usage","wechat:dual account opening:hk account usage","","","Leads-only: Yes","application","wechat","zh_cn"
"/cn-account-opening/confirmation","wechat:cn account opening:confirmation","","","Leads-only: Yes","application","wechat","zh_cn"
